x,y,z,cluster,top10_probability,target,season,round,race_id,grand_prix,driver_id,driver_code,constructor_name,grid,final_position
7.484453406641293,1.8030361352576367,1.5163590315995554,2,0.0007032804244345427,0,2010,3,2010_03,Malaysian Grand Prix,grassi,DIG,Virgin,24,14
-0.563578338810507,0.05590851407292696,0.5496889058886718,4,0.42464593595893363,1,2010,3,2010_03,Malaysian Grand Prix,hulkenberg,HUL,Williams,5,10
0.9510797035296803,0.4758186041132344,0.7542510523406862,3,0.20847997234009866,0,2010,3,2010_03,Malaysian Grand Prix,kobayashi,KOB,Sauber,9,22
4.919943592241833,0.919720873006499,1.2148020267408974,2,0.0053132676394251075,0,2010,3,2010_03,Malaysian Grand Prix,kovalainen,KOV,Lotus,15,18
-1.4310116220422553,-0.1771390580867176,0.8745314077442576,7,0.771134773533424,1,2010,3,2010_03,Malaysian Grand Prix,kubica,KUB,Renault,6,4
-1.3211231652775788,-0.19891681794442828,0.8934569771219079,7,0.6790124371105551,0,2010,3,2010_03,Malaysian Grand Prix,michael_schumacher,MSC,Mercedes,8,21
1.1549107025919656,-0.10712641085253516,0.5481414201117509,3,0.12931847472856997,0,2010,3,2010_03,Malaysian Grand Prix,rosa,DLR,Sauber,12,24
-1.88500083993568,0.060491217958681176,1.253322893615773,7,0.8425167110114479,1,2010,3,2010_03,Malaysian Grand Prix,rosberg,ROS,Mercedes,2,3
-0.7550231180068182,0.22867281589353405,0.8636832981407065,4,0.6605796134061875,1,2010,3,2010_03,Malaysian Grand Prix,sutil,SUT,Force India,4,5
-2.014666423531813,-0.0031043735674751716,1.0774021082233673,7,0.8709578536743225,1,2010,3,2010_03,Malaysian Grand Prix,webber,WEB,Red Bull,1,2
0.4092809012570986,-0.8661128269711649,0.6454299374396655,4,0.23210339982081732,0,2010,4,2010_04,Chinese Grand Prix,alguersuari,ALG,Toro Rosso,12,13
-2.430708876061191,0.40808940066573207,1.2206339007067553,7,0.9226269082598796,1,2010,4,2010_04,Chinese Grand Prix,alonso,ALO,Ferrari,3,4
