model,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
neural_network_mlp,2591,462,2010,2015,2016,0.816017316017316,0.7593360995850622,0.8714285714285714,0.811529933481153,0.8903817082388511,0.7952380952380954,0.047619047619047616
logistic_regression,3053,400,2010,2016,2017,0.7325,0.7104072398190046,0.785,0.7458432304038005,0.8124750000000001,0.745,0.0
random_forest,3053,400,2010,2016,2017,0.7825,0.7958115183246073,0.76,0.7774936061381074,0.836525,0.785,0.05
extra_trees,3053,400,2010,2016,2017,0.7875,0.7889447236180904,0.785,0.7869674185463659,0.83665,0.7750000000000001,0.05
hist_gradient_boosting,3053,400,2010,2016,2017,0.74,0.7608695652173914,0.7,0.7291666666666666,0.822075,0.75,0.05
neural_network_mlp,3053,400,2010,2016,2017,0.7625,0.7586206896551724,0.77,0.7642679900744417,0.8185,0.79,0.05
logistic_regression,3453,420,2010,2017,2018,0.7333333333333333,0.7268518518518519,0.7476190476190476,0.7370892018779343,0.8018820861678005,0.7428571428571429,0.0
random_forest,3453,420,2010,2017,2018,0.7428571428571429,0.7361111111111112,0.7571428571428571,0.7464788732394366,0.8232199546485262,0.738095238095238,0.0
extra_trees,3453,420,2010,2017,2018,0.7380952380952381,0.7403846153846154,0.7333333333333333,0.7368421052631579,0.8160770975056689,0.7380952380952381,0.0
hist_gradient_boosting,3453,420,2010,2017,2018,0.7428571428571429,0.7297297297297297,0.7714285714285715,0.75,0.8118367346938775,0.7476190476190476,0.047619047619047616
neural_network_mlp,3453,420,2010,2017,2018,0.7380952380952381,0.7525252525252525,0.7095238095238096,0.7303921568627451,0.8149886621315192,0.7476190476190476,0.0
logistic_regression,3873,420,2010,2018,2019,0.6595238095238095,0.710691823899371,0.5380952380952381,0.6124661246612466,0.7031292517006803,0.7095238095238096,0.0
random_forest,3873,420,2010,2018,2019,0.75,0.7536231884057971,0.7428571428571429,0.7482014388489209,0.83,0.7523809523809524,0.0
extra_trees,3873,420,2010,2018,2019,0.7428571428571429,0.7451923076923077,0.7380952380952381,0.7416267942583732,0.8261678004535148,0.7476190476190476,0.0
hist_gradient_boosting,3873,420,2010,2018,2019,0.7404761904761905,0.7512437810945274,0.719047619047619,0.7347931873479319,0.8200000000000001,0.7428571428571429,0.0
neural_network_mlp,3873,420,2010,2018,2019,0.6857142857142857,0.7096774193548387,0.6285714285714286,0.6666666666666666,0.7361224489795917,0.7142857142857144,0.0
logistic_regression,4293,340,2010,2019,2020,0.7147058823529412,0.7212121212121212,0.7,0.7104477611940299,0.8008650519031142,0.7117647058823529,0.0
random_forest,4293,340,2010,2019,2020,0.7617647058823529,0.7236180904522613,0.8470588235294118,0.7804878048780488,0.8230449826989619,0.7647058823529411,0.0
extra_trees,4293,340,2010,2019,2020,0.7529411764705882,0.7216494845360825,0.8235294117647058,0.7692307692307693,0.8057785467128028,0.723529411764706,0.0
hist_gradient_boosting,4293,340,2010,2019,2020,0.7823529411764706,0.74,0.8705882352941177,0.8,0.8276470588235294,0.7411764705882353,0.0
