race_id,safety_car_count,virtual_safety_car_count,red_flag_count,yellow_flag_count,double_yellow_count,black_flag_count,track_limits_count,investigation_count,penalty_count,incident_count,race_control_messages_count,race_control_data_available,total_dnf_count,classified_driver_count,race_disruption_score
2025_01,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6
2025_02,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7
2025_03,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
2025_04,0,0,0,0,0,0,0,0,0,0,0,0,2,18,2
2025_05,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6
2025_06,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7
2025_07,0,0,0,0,0,0,0,0,0,0,0,0,2,18,2
2025_08,0,0,0,0,0,0,0,0,0,0,0,0,15,5,15
2025_09,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2
2025_10,0,0,0,0,0,0,0,0,0,0,0,0,12,8,12
2025_11,0,0,0,0,0,0,0,0,0,0,0,0,13,6,13
2025_12,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5
2025_13,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
2025_14,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11
2025_15,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2025_16,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5
2025_17,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2025_18,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11
2025_19,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4
2025_20,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9
2025_21,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2025_22,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7
2025_23,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7
2025_24,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4
2026_01,0,0,0,0,0,0,0,0,0,0,0,0,14,6,14
2026_02,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10
2026_03,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5
