race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2018_06,perez,3,95.00233333333334,81.128,10.410759380990847,8.0,57.0
2018_06,kevin_magnussen,3,95.51766666666667,80.246,11.545066892641014,12.0,57.333333333333336
2018_06,vandoorne,3,96.13233333333334,82.594,10.333289645068938,14.0,50.666666666666664
2018_06,grosjean,3,,97.41,4.734999999999999,9.0,49.0
2018_06,sirotkin,3,,82.68,7.971999999999994,17.5,59.5
2018_06,stroll,3,95.80333333333333,82.095,10.270462772219933,12.333333333333334,57.0
2018_06,leclerc,3,96.11099999999999,82.122,10.495637093573688,14.666666666666666,57.0
2018_06,brendon_hartley,3,96.36766666666665,81.439,11.16556469189485,15.666666666666666,55.333333333333336
2018_06,alonso,3,95.13666666666666,80.727,11.009554224500745,8.666666666666666,57.333333333333336
2018_07,vettel,3,86.90766666666667,76.065,13.227218562074528,4.333333333333333,65.0
2018_07,bottas,3,86.97966666666667,76.312,12.91251058297942,5.0,64.0
2018_07,max_verstappen,3,86.48433333333332,74.26,13.799594060051993,3.3333333333333335,61.0
2018_07,ricciardo,3,86.474,75.562,13.447600256799227,3.0,61.0
2018_07,hamilton,3,86.93833333333333,76.27,13.115041297007888,4.333333333333333,65.0
2018_07,raikkonen,3,88.14866666666667,76.392,13.160912438817537,9.333333333333334,51.333333333333336
2018_07,hulkenberg,3,,76.061,16.40299999999999,12.0,44.0
2018_07,sainz,3,88.557,77.491,13.033623773404948,12.0,64.66666666666667
2018_07,ocon,3,,,2.5450000000000017,13.5,58.0
2018_07,leclerc,3,89.07833333333333,77.71000000000001,13.082086794119993,15.0,61.666666666666664
2018_07,gasly,3,,77.099,15.467999999999996,15.0,64.5
2018_07,grosjean,3,,74.822,16.028999999999996,6.0,59.5
2018_07,kevin_magnussen,3,88.62566666666667,77.476,13.855549317471644,13.0,64.66666666666667
2018_07,perez,3,88.29333333333334,77.54599999999999,12.75030460638316,11.0,64.33333333333333
2018_07,ericsson,3,89.11599999999999,76.936,13.49165818817934,13.666666666666666,64.33333333333333
2018_07,vandoorne,3,89.04133333333334,76.864,13.375771163645936,13.333333333333334,57.666666666666664
2018_07,sirotkin,3,,,3.677500000000002,10.5,70.0
2018_07,alonso,3,88.39799999999998,77.018,13.555924190798155,10.666666666666666,56.0
2018_07,brendon_hartley,3,88.96633333333334,77.172,13.773087872933779,14.333333333333334,61.666666666666664
2018_07,stroll,3,87.95133333333332,74.944,13.654367807490106,7.666666666666667,63.666666666666664
2018_08,hamilton,3,76.52866666666667,74.18299999999999,2.029089505719801,5.666666666666667,70.66666666666667
2018_08,max_verstappen,3,75.84866666666667,73.864,2.531894854759087,2.0,70.66666666666667
2018_08,raikkonen,3,77.33266666666667,74.075,3.115726168256056,8.333333333333334,57.0
2018_08,ricciardo,3,76.05399999999999,74.159,1.7824008153798245,3.6666666666666665,70.66666666666667
2018_08,vettel,3,76.38566666666667,73.964,2.120352853235099,3.6666666666666665,70.66666666666667
2018_08,kevin_magnussen,3,77.70766666666667,75.401,1.9847347989648945,10.333333333333334,70.0
2018_08,bottas,3,76.59400000000001,73.992,2.2485094321942873,5.666666666666667,70.66666666666667
2018_08,sainz,3,78.16033333333333,75.666,2.3578586801493335,13.333333333333334,70.0
2018_08,hulkenberg,3,,,0.2365000000000066,8.5,72.5
2018_08,leclerc,3,78.43733333333334,75.48,2.7599276963154082,14.666666666666666,67.0
2018_08,grosjean,3,,,0.32399999999999807,5.5,72.0
2018_08,vandoorne,3,78.40766666666667,75.765,2.99399291174103,14.0,62.666666666666664
2018_08,ericsson,3,78.60866666666666,76.40299999999999,2.751014883436453,15.0,69.33333333333333
2018_08,brendon_hartley,3,,77.172,2.133499999999998,13.0,67.0
2018_08,sirotkin,3,77.97633333333333,75.325,3.334972297069682,12.333333333333334,68.66666666666667
2018_08,alonso,3,77.97500000000001,76.18,1.9758017781818764,12.333333333333334,52.333333333333336
2018_08,stroll,3,,74.944,3.575499999999998,7.5,70.0
2018_08,perez,3,77.92466666666665,75.1,2.475444382103727,11.333333333333334,69.66666666666667
2018_08,ocon,3,78.25133333333333,75.61,2.7939823828284185,13.0,61.0
2018_08,gasly,3,,,0.7000000000000028,14.5,72.5
2018_09,max_verstappen,3,80.79966666666668,73.864,9.529870944678224,1.3333333333333333,66.33333333333333
2018_09,raikkonen,3,81.62166666666666,74.075,9.083616839612338,5.666666666666667,66.33333333333333
2018_09,vettel,3,81.50466666666667,73.964,9.21847204741051,4.333333333333333,66.33333333333333
2018_09,grosjean,3,81.99566666666666,74.822,9.690503128779683,7.0,65.33333333333333
2018_09,kevin_magnussen,3,82.76733333333334,75.401,8.990320733371467,11.0,66.0
2018_09,ocon,3,,75.61,0.7085000000000008,13.0,72.5
2018_09,perez,3,83.65499999999999,75.1,10.416986160433675,14.333333333333334,57.333333333333336
2018_09,alonso,3,82.777,76.18,8.743706803562588,12.0,47.333333333333336
2018_09,leclerc,3,83.05566666666667,75.48,9.182006546622704,14.0,63.333333333333336
2018_09,ericsson,3,83.27766666666666,76.40299999999999,9.347891824125671,14.333333333333334,65.33333333333333
2018_09,gasly,3,,75.699,0.7000000000000028,14.5,72.5
2018_09,sainz,3,82.93166666666666,75.666,9.015573057524165,13.333333333333334,66.0
2018_09,sirotkin,3,83.183,75.325,10.692130034126343,12.0,65.0
2018_09,stroll,3,,74.944,11.6875,10.5,62.0
2018_09,vandoorne,3,83.10133333333334,75.765,9.608512556871407,13.333333333333334,65.0
2018_09,hamilton,3,81.654,74.18299999999999,9.129701017375472,6.333333333333333,66.33333333333333
2018_09,brendon_hartley,3,,77.172,9.8335,15.5,61.0
2018_09,ricciardo,3,81.70100000000001,74.159,9.690869345247963,5.666666666666667,66.33333333333333
2018_09,bottas,3,81.50966666666666,73.992,9.040847170235514,4.333333333333333,66.33333333333333
2018_09,hulkenberg,3,82.50733333333334,75.588,9.452926049054271,9.333333333333334,66.0
2018_10,vettel,3,78.51033333333334,67.082,11.639958829633189,2.6666666666666665,64.0
2018_10,hamilton,3,78.64433333333334,67.241,11.570467502319095,4.666666666666667,61.0
2018_10,raikkonen,3,78.47666666666667,66.957,11.627069631778346,2.6666666666666665,64.0
2018_10,bottas,3,79.08699999999999,69.044,10.893115838302034,6.333333333333333,44.666666666666664
2018_10,ricciardo,3,79.044,67.591,11.859801544151855,5.666666666666667,58.0
2018_10,hulkenberg,3,80.61366666666666,70.38,10.997462020343095,14.0,43.666666666666664
2018_10,ocon,3,,68.85,3.3800000000000026,11.5,68.5
2018_10,alonso,3,79.99133333333334,68.661,11.138114512290173,10.666666666666666,53.333333333333336
2018_10,kevin_magnussen,3,79.76733333333333,68.476,11.426892267317868,7.666666666666667,63.333333333333336
2018_10,perez,3,80.641,68.504,12.786987317842566,10.666666666666666,54.666666666666664
2018_10,vandoorne,3,80.44466666666666,68.894,11.814410701436705,13.666666666666666,61.0
2018_10,stroll,3,,,14.558,18.0,58.5
2018_10,gasly,3,,69.295,3.201999999999998,16.5,68.5
2018_10,sirotkin,3,81.065,68.971,12.513192265232185,15.0,62.333333333333336
2018_10,max_verstappen,3,78.527,67.44200000000001,11.439992686477847,2.3333333333333335,64.0
2018_10,grosjean,3,80.07866666666666,69.071,11.34722287120901,11.666666666666666,63.0
2018_10,sainz,3,80.02333333333333,68.766,11.394907088500352,10.666666666666666,63.333333333333336
2018_10,ericsson,3,80.371,68.216,11.880518759717527,12.333333333333334,62.666666666666664
2018_10,leclerc,3,80.15433333333333,69.006,11.496253138402192,12.0,63.333333333333336
