race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2018_06,ricciardo,5,3,0.6,47.0,9.4,3,9.4,5.6,1,20,44.0,2
2018_06,vettel,5,5,1.0,78.0,15.6,5,3.6,1.8,1,8,57.6,0
2018_06,hamilton,5,5,1.0,95.0,19.0,5,2.2,3.4,1,4,57.6,0
2018_06,raikkonen,5,3,0.6,48.0,9.6,3,8.6,3.2,2,18,45.0,2
2018_06,bottas,5,4,0.8,58.0,11.6,4,5.6,5.2,2,14,57.0,1
2018_06,ocon,5,1,0.2,1.0,0.2,1,13.6,10.8,10,19,41.6,2
2018_06,gasly,5,1,0.2,12.0,2.4,1,14.2,14.2,4,19,35.4,2
2018_06,hulkenberg,5,3,0.6,22.0,4.4,3,11.4,10.2,6,20,36.2,2
2018_06,max_verstappen,5,3,0.6,33.0,6.6,3,9.8,6.8,3,19,44.4,2
2018_06,sainz,5,4,0.8,19.0,3.8,4,8.4,9.2,5,11,57.2,0
2018_06,ericsson,5,1,0.2,2.0,0.4,1,13.6,17.8,9,19,46.4,1
2018_06,perez,5,2,0.4,17.0,3.4,2,10.2,11.0,3,16,57.0,0
2018_06,kevin_magnussen,5,3,0.6,19.0,3.8,3,10.2,8.8,5,17,50.2,1
2018_06,vandoorne,5,3,0.6,8.0,1.6,3,10.8,13.2,8,15,53.2,1
2018_06,grosjean,5,0,0.0,0.0,0.0,0,15.8,12.4,13,18,35.6,3
2018_06,sirotkin,5,0,0.0,0.0,0.0,0,16.8,16.6,14,20,35.8,2
2018_06,stroll,5,1,0.2,4.0,0.8,1,12.2,15.8,8,14,57.0,0
2018_06,leclerc,5,2,0.4,9.0,1.8,2,12.0,16.6,6,19,57.0,0
2018_06,brendon_hartley,5,1,0.2,1.0,0.2,1,14.8,16.2,10,20,55.8,1
2018_06,alonso,5,5,1.0,32.0,6.4,5,6.8,11.2,5,8,57.2,0
2018_07,vettel,5,5,1.0,71.0,14.2,5,3.8,1.6,1,8,61.6,0
