race_id,driver_id,telemetry_races_previous_3,avg_speed_previous_3_races,max_speed_previous_3_races,avg_throttle_previous_3_races,avg_brake_previous_3_races,avg_drs_previous_3_races,drs_usage_rate_previous_3_races,avg_distance_previous_3_races
2018_07,hamilton,3,191.43000000000004,211.77,0.0,0.0,0.0,0.0,65.0
2018_07,raikkonen,3,188.55733333333333,205.541,0.0,0.0,0.0,0.0,51.333333333333336
2018_07,hulkenberg,2,178.2235,198.506,0.0,0.0,0.0,0.0,44.0
2018_07,sainz,3,187.77766666666665,206.064,0.0,0.0,0.0,0.0,64.66666666666667
2018_07,ocon,2,180.017,204.074,0.0,0.0,0.0,0.0,58.0
2018_07,leclerc,3,186.62133333333335,204.062,0.0,0.0,0.0,0.0,61.666666666666664
2018_07,gasly,2,177.925,200.035,0.0,0.0,0.0,0.0,64.5
2018_07,grosjean,2,181.3765,202.196,0.0,0.0,0.0,0.0,59.5
2018_07,kevin_magnussen,3,187.90066666666667,208.832,0.0,0.0,0.0,0.0,64.66666666666667
2018_07,perez,3,188.31966666666668,206.562,0.0,0.0,0.0,0.0,64.33333333333333
2018_07,ericsson,3,186.51433333333333,203.159,0.0,0.0,0.0,0.0,64.33333333333333
2018_07,vandoorne,3,186.63566666666665,202.896,0.0,0.0,0.0,0.0,57.666666666666664
2018_07,sirotkin,2,181.0845,202.685,0.0,0.0,0.0,0.0,70.0
2018_07,alonso,3,188.231,207.588,0.0,0.0,0.0,0.0,56.0
2018_07,brendon_hartley,3,187.00233333333335,205.773,0.0,0.0,0.0,0.0,61.666666666666664
2018_07,stroll,3,188.9143333333333,204.129,0.0,0.0,0.0,0.0,63.666666666666664
2018_08,hamilton,3,193.63700000000003,211.77,0.0,0.0,0.0,0.0,70.66666666666667
2018_08,max_verstappen,3,195.106,212.547,0.0,0.0,0.0,0.0,70.66666666666667
2018_08,raikkonen,3,191.57966666666667,211.941,0.0,0.0,0.0,0.0,57.0
2018_08,ricciardo,3,194.77433333333332,213.638,0.0,0.0,0.0,0.0,70.66666666666667
2018_08,vettel,3,193.992,212.26,0.0,0.0,0.0,0.0,70.66666666666667
2018_08,kevin_magnussen,3,190.70100000000002,208.832,0.0,0.0,0.0,0.0,70.0
2018_08,bottas,3,193.48366666666666,212.179,0.0,0.0,0.0,0.0,70.66666666666667
2018_08,sainz,3,189.52533333333335,207.485,0.0,0.0,0.0,0.0,70.0
2018_08,hulkenberg,2,182.82,207.699,0.0,0.0,0.0,0.0,72.5
2018_08,leclerc,3,188.88266666666667,207.996,0.0,0.0,0.0,0.0,67.0
2018_08,grosjean,2,184.2905,208.024,0.0,0.0,0.0,0.0,72.0
2018_08,vandoorne,3,188.80033333333336,207.214,0.0,0.0,0.0,0.0,62.666666666666664
2018_08,ericsson,3,188.26266666666666,205.484,0.0,0.0,0.0,0.0,69.33333333333333
2018_08,brendon_hartley,2,180.72,205.773,0.0,0.0,0.0,0.0,67.0
2018_08,sirotkin,3,189.64966666666666,206.78,0.0,0.0,0.0,0.0,68.66666666666667
2018_08,alonso,3,189.88400000000001,207.588,0.0,0.0,0.0,0.0,52.333333333333336
2018_08,stroll,2,182.212,204.129,0.0,0.0,0.0,0.0,70.0
2018_08,perez,3,190.17600000000002,209.049,0.0,0.0,0.0,0.0,69.66666666666667
2018_08,ocon,3,189.22433333333333,207.639,0.0,0.0,0.0,0.0,61.0
2018_08,gasly,2,181.60500000000002,207.395,0.0,0.0,0.0,0.0,72.5
2018_09,max_verstappen,3,199.134,223.083,0.0,0.0,0.0,0.0,66.33333333333333
2018_09,raikkonen,3,197.33,222.792,0.0,0.0,0.0,0.0,66.33333333333333
2018_09,vettel,3,197.59333333333333,222.587,0.0,0.0,0.0,0.0,66.33333333333333
2018_09,grosjean,3,196.11800000000002,219.773,0.0,0.0,0.0,0.0,65.33333333333333
2018_09,kevin_magnussen,3,194.55533333333332,220.395,0.0,0.0,0.0,0.0,66.0
2018_09,ocon,2,181.79950000000002,207.639,0.0,0.0,0.0,0.0,72.5
2018_09,perez,3,192.62433333333334,213.907,0.0,0.0,0.0,0.0,57.333333333333336
2018_09,alonso,3,194.37833333333333,221.071,0.0,0.0,0.0,0.0,47.333333333333336
2018_09,leclerc,3,193.9043333333333,219.127,0.0,0.0,0.0,0.0,63.333333333333336
2018_09,ericsson,3,193.194,217.953,0.0,0.0,0.0,0.0,65.33333333333333
2018_09,gasly,2,181.60500000000002,207.395,0.0,0.0,0.0,0.0,72.5
2018_09,sainz,3,194.13866666666664,219.904,0.0,0.0,0.0,0.0,66.0
2018_09,sirotkin,3,193.4043333333333,213.949,0.0,0.0,0.0,0.0,65.0
2018_09,stroll,2,187.101,213.907,0.0,0.0,0.0,0.0,62.0
2018_09,vandoorne,3,193.6833333333333,217.545,0.0,0.0,0.0,0.0,65.0
2018_09,hamilton,3,197.22400000000002,222.531,0.0,0.0,0.0,0.0,66.33333333333333
2018_09,brendon_hartley,2,186.42149999999998,217.176,0.0,0.0,0.0,0.0,61.0
2018_09,ricciardo,3,197.05966666666666,220.494,0.0,0.0,0.0,0.0,66.33333333333333
2018_09,bottas,3,197.60066666666668,223.201,0.0,0.0,0.0,0.0,66.33333333333333
2018_09,hulkenberg,3,195.00166666666667,219.365,0.0,0.0,0.0,0.0,66.0
2018_10,vettel,3,222.1916666666667,231.728,0.0,0.0,0.0,0.0,64.0
2018_10,hamilton,3,221.78133333333335,231.18,0.0,0.0,0.0,0.0,61.0
2018_10,raikkonen,3,222.2976666666667,232.16,0.0,0.0,0.0,0.0,64.0
2018_10,bottas,3,220.17433333333335,225.143,0.0,0.0,0.0,0.0,44.666666666666664
2018_10,ricciardo,3,220.726,229.983,0.0,0.0,0.0,0.0,58.0
2018_10,hulkenberg,3,215.97766666666666,220.869,0.0,0.0,0.0,0.0,43.666666666666664
2018_10,ocon,2,216.708,225.777,0.0,0.0,0.0,0.0,68.5
2018_10,alonso,3,217.8516666666667,226.399,0.0,0.0,0.0,0.0,53.333333333333336
2018_10,kevin_magnussen,3,218.53966666666668,227.01,0.0,0.0,0.0,0.0,63.333333333333336
2018_10,perez,3,216.62466666666668,226.918,0.0,0.0,0.0,0.0,54.666666666666664
2018_10,vandoorne,3,216.79733333333334,225.633,0.0,0.0,0.0,0.0,61.0
2018_10,stroll,2,219.2665,224.626,0.0,0.0,0.0,0.0,58.5
2018_10,gasly,2,215.861,224.327,0.0,0.0,0.0,0.0,68.5
2018_10,sirotkin,3,215.37,225.381,0.0,0.0,0.0,0.0,62.333333333333336
2018_10,max_verstappen,3,222.04033333333334,230.491,0.0,0.0,0.0,0.0,64.0
2018_10,grosjean,3,217.61733333333336,225.055,0.0,0.0,0.0,0.0,63.0
2018_10,sainz,3,217.814,226.053,0.0,0.0,0.0,0.0,63.333333333333336
2018_10,ericsson,3,217.10433333333333,227.876,0.0,0.0,0.0,0.0,62.666666666666664
2018_10,leclerc,3,217.46333333333337,225.267,0.0,0.0,0.0,0.0,63.333333333333336
2018_10,brendon_hartley,2,220.95299999999997,224.73,0.0,0.0,0.0,0.0,53.0
2018_11,hamilton,3,228.71166666666667,232.424,0.0,0.0,0.0,0.0,55.666666666666664
2018_11,bottas,3,226.811,232.089,0.0,0.0,0.0,0.0,39.333333333333336
2018_11,raikkonen,3,229.50933333333333,233.576,0.0,0.0,0.0,0.0,58.666666666666664
2018_11,max_verstappen,3,228.02433333333332,230.499,0.0,0.0,0.0,0.0,56.666666666666664
2018_11,hulkenberg,3,222.42766666666668,227.049,0.0,0.0,0.0,0.0,38.666666666666664
2018_11,grosjean,3,223.16866666666667,225.055,0.0,0.0,0.0,0.0,53.0
2018_11,perez,3,222.57066666666665,226.918,0.0,0.0,0.0,0.0,49.666666666666664
2018_11,ocon,2,226.1695,226.562,0.0,0.0,0.0,0.0,61.0
2018_11,ericsson,3,224.07466666666667,227.876,0.0,0.0,0.0,0.0,51.0
2018_11,brendon_hartley,2,220.95299999999997,224.73,0.0,0.0,0.0,0.0,35.666666666666664
2018_11,kevin_magnussen,3,224.65733333333333,227.01,0.0,0.0,0.0,0.0,58.333333333333336
2018_11,sainz,3,223.37800000000001,226.053,0.0,0.0,0.0,0.0,53.333333333333336
2018_11,vandoorne,3,223.29100000000003,226.695,0.0,0.0,0.0,0.0,56.333333333333336
2018_11,gasly,2,225.6155,226.904,0.0,0.0,0.0,0.0,61.0
2018_11,leclerc,3,222.38033333333337,225.267,0.0,0.0,0.0,0.0,47.0
2018_11,alonso,3,224.77733333333333,226.862,0.0,0.0,0.0,0.0,57.333333333333336
2018_11,stroll,3,221.48666666666668,225.927,0.0,0.0,0.0,0.0,56.333333333333336
2018_11,vettel,3,229.38199999999998,233.831,0.0,0.0,0.0,0.0,58.666666666666664
2018_11,sirotkin,3,221.15466666666669,225.381,0.0,0.0,0.0,0.0,57.666666666666664
2018_11,ricciardo,3,227.34266666666667,231.551,0.0,0.0,0.0,0.0,52.666666666666664
2018_12,hamilton,3,227.19066666666666,232.424,0.0,0.0,0.0,0.0,60.333333333333336
2018_12,vettel,3,226.20166666666668,233.831,0.0,0.0,0.0,0.0,58.0
2018_12,raikkonen,3,227.47566666666668,233.576,0.0,0.0,0.0,0.0,63.333333333333336
2018_12,ricciardo,3,223.97799999999998,231.551,0.0,0.0,0.0,0.0,44.0
2018_12,bottas,3,224.89766666666665,232.089,0.0,0.0,0.0,0.0,44.0
2018_12,gasly,3,220.99466666666663,226.904,0.0,0.0,0.0,0.0,62.666666666666664
2018_12,kevin_magnussen,3,221.8356666666667,227.01,0.0,0.0,0.0,0.0,63.0
2018_12,alonso,3,221.69066666666666,226.862,0.0,0.0,0.0,0.0,62.333333333333336
2018_12,sainz,3,220.96366666666668,226.053,0.0,0.0,0.0,0.0,58.0
2018_12,grosjean,3,221.458,225.055,0.0,0.0,0.0,0.0,58.0
2018_12,brendon_hartley,2,218.35199999999998,224.73,0.0,0.0,0.0,0.0,40.666666666666664
2018_12,hulkenberg,3,219.75633333333334,227.049,0.0,0.0,0.0,0.0,43.333333333333336
2018_12,ocon,3,221.202,226.562,0.0,0.0,0.0,0.0,63.0
2018_12,perez,3,221.75766666666667,226.918,0.0,0.0,0.0,0.0,63.0
2018_12,ericsson,3,222.02366666666668,227.876,0.0,0.0,0.0,0.0,56.0
2018_12,sirotkin,3,219.37466666666668,225.381,0.0,0.0,0.0,0.0,57.333333333333336
2018_12,stroll,3,219.785,225.927,0.0,0.0,0.0,0.0,58.0
2018_12,vandoorne,3,221.5653333333333,226.695,0.0,0.0,0.0,0.0,61.333333333333336
2018_12,max_verstappen,3,226.025,230.499,0.0,0.0,0.0,0.0,61.333333333333336
2018_12,leclerc,3,219.841,225.267,0.0,0.0,0.0,0.0,51.333333333333336
2018_13,vettel,3,214.62800000000001,233.831,0.0,0.0,0.0,0.0,57.666666666666664
2018_13,hamilton,3,214.94866666666667,232.424,0.0,0.0,0.0,0.0,63.0
2018_13,max_verstappen,3,211.79133333333334,230.499,0.0,0.0,0.0,0.0,39.333333333333336
2018_13,bottas,3,214.169,232.089,0.0,0.0,0.0,0.0,63.0
2018_13,perez,3,209.258,226.887,0.0,0.0,0.0,0.0,62.666666666666664
2018_13,ocon,3,209.37733333333335,226.562,0.0,0.0,0.0,0.0,62.666666666666664
2018_13,grosjean,3,210.0813333333333,224.678,0.0,0.0,0.0,0.0,57.666666666666664
2018_13,kevin_magnussen,3,210.828,226.567,0.0,0.0,0.0,0.0,62.666666666666664
2018_13,gasly,3,210.57833333333335,226.904,0.0,0.0,0.0,0.0,62.666666666666664
2018_13,ericsson,3,208.89666666666668,226.395,0.0,0.0,0.0,0.0,55.333333333333336
2018_13,sainz,3,209.12533333333332,224.177,0.0,0.0,0.0,0.0,57.666666666666664
2018_13,sirotkin,3,207.05166666666665,224.134,0.0,0.0,0.0,0.0,57.0
2018_13,stroll,3,208.50966666666667,225.927,0.0,0.0,0.0,0.0,57.666666666666664
2018_13,brendon_hartley,2,201.4425,211.974,0.0,0.0,0.0,0.0,45.666666666666664
2018_13,vandoorne,3,209.6353333333333,226.695,0.0,0.0,0.0,0.0,56.0
2018_13,ricciardo,3,213.02200000000002,231.551,0.0,0.0,0.0,0.0,49.666666666666664
2018_13,raikkonen,3,215.56499999999997,233.576,0.0,0.0,0.0,0.0,63.0
2018_13,leclerc,2,217.128,222.747,0.0,0.0,0.0,0.0,42.0
