race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2018_15,brendon_hartley,19,2.0,0,2.0
2018_15,kevin_magnussen,8,49.0,0,49.0
2018_15,sirotkin,20,1.0,0,1.0
2018_15,ocon,10,45.0,0,45.0
2018_16,hamilton,1,281.0,7,351.0
2018_16,bottas,4,171.0,0,171.0
2018_16,vettel,2,241.0,5,291.0
2018_16,raikkonen,3,174.0,0,174.0
2018_16,max_verstappen,5,148.0,1,158.0
2018_16,ricciardo,6,126.0,2,146.0
2018_16,leclerc,15,15.0,0,15.0
2018_16,kevin_magnussen,9,49.0,0,49.0
2018_16,ocon,11,45.0,0,45.0
2018_16,perez,10,46.0,0,46.0
2018_16,grosjean,14,27.0,0,27.0
2018_16,hulkenberg,7,53.0,0,53.0
2018_16,ericsson,17,6.0,0,6.0
2018_16,alonso,8,50.0,0,50.0
2018_16,stroll,18,6.0,0,6.0
2018_16,vandoorne,16,8.0,0,8.0
2018_16,sainz,12,38.0,0,38.0
2018_16,sirotkin,20,1.0,0,1.0
2018_16,gasly,13,28.0,0,28.0
2018_16,brendon_hartley,19,2.0,0,2.0
2018_17,hamilton,1,306.0,8,386.0
2018_17,bottas,3,189.0,0,189.0
2018_17,max_verstappen,5,158.0,1,168.0
2018_17,ricciardo,6,134.0,2,154.0
2018_17,raikkonen,4,186.0,0,186.0
2018_17,vettel,2,256.0,5,306.0
2018_17,perez,11,47.0,0,47.0
2018_17,grosjean,14,27.0,0,27.0
2018_17,ocon,10,47.0,0,47.0
2018_17,sainz,12,38.0,0,38.0
2018_17,gasly,13,28.0,0,28.0
2018_17,ericsson,17,6.0,0,6.0
2018_17,brendon_hartley,19,2.0,0,2.0
2018_17,alonso,9,50.0,0,50.0
2018_17,vandoorne,16,8.0,0,8.0
2018_17,sirotkin,20,1.0,0,1.0
2018_17,stroll,18,6.0,0,6.0
2018_17,leclerc,15,21.0,0,21.0
2018_17,hulkenberg,7,53.0,0,53.0
2018_17,kevin_magnussen,8,53.0,0,53.0
2018_18,raikkonen,4,196.0,0,196.0
2018_18,max_verstappen,5,173.0,1,183.0
2018_18,hamilton,1,331.0,9,421.0
2018_18,vettel,2,264.0,5,314.0
2018_18,bottas,3,207.0,0,207.0
2018_18,hulkenberg,7,53.0,0,53.0
2018_18,sainz,12,39.0,0,39.0
2018_18,perez,9,53.0,0,53.0
2018_18,brendon_hartley,19,2.0,0,2.0
2018_18,ericsson,17,6.0,0,6.0
2018_18,vandoorne,16,8.0,0,8.0
2018_18,gasly,14,28.0,0,28.0
2018_18,sirotkin,20,1.0,0,1.0
2018_18,stroll,18,6.0,0,6.0
2018_18,leclerc,15,21.0,0,21.0
2018_18,ricciardo,6,146.0,2,166.0
2018_18,grosjean,13,31.0,0,31.0
2018_18,alonso,10,50.0,0,50.0
2018_18,ocon,11,49.0,0,49.0
2018_18,kevin_magnussen,8,53.0,0,53.0
2018_19,max_verstappen,5,191.0,1,201.0
2018_19,vettel,2,276.0,5,326.0
2018_19,raikkonen,3,221.0,1,231.0
2018_19,hamilton,1,346.0,9,436.0
2018_19,bottas,4,217.0,0,217.0
2018_19,hulkenberg,7,61.0,0,61.0
2018_19,leclerc,15,21.0,0,21.0
2018_19,vandoorne,16,8.0,0,8.0
2018_19,ericsson,17,7.0,0,7.0
2018_19,gasly,14,28.0,0,28.0
2018_19,ocon,11,49.0,0,49.0
2018_19,stroll,18,6.0,0,6.0
2018_19,sirotkin,20,1.0,0,1.0
2018_19,brendon_hartley,19,4.0,0,4.0
2018_19,kevin_magnussen,9,53.0,0,53.0
2018_19,grosjean,13,31.0,0,31.0
2018_19,ricciardo,6,146.0,2,166.0
2018_19,perez,8,57.0,0,57.0
2018_19,sainz,12,45.0,0,45.0
2018_19,alonso,10,50.0,0,50.0
2018_20,hamilton,1,358.0,9,448.0
2018_20,max_verstappen,5,216.0,2,236.0
2018_20,raikkonen,3,236.0,1,246.0
2018_20,ricciardo,6,146.0,2,166.0
2018_20,bottas,4,227.0,0,227.0
2018_20,vettel,2,294.0,5,344.0
2018_20,leclerc,15,27.0,0,27.0
2018_20,grosjean,13,31.0,0,31.0
2018_20,kevin_magnussen,9,53.0,0,53.0
2018_20,perez,8,57.0,0,57.0
2018_20,brendon_hartley,19,4.0,0,4.0
2018_20,sainz,12,45.0,0,45.0
2018_20,gasly,14,29.0,0,29.0
2018_20,vandoorne,16,12.0,0,12.0
2018_20,ocon,11,49.0,0,49.0
2018_20,sirotkin,20,1.0,0,1.0
2018_20,alonso,10,50.0,0,50.0
2018_20,stroll,18,6.0,0,6.0
2018_20,hulkenberg,7,69.0,0,69.0
2018_20,ericsson,17,9.0,0,9.0
2018_21,hamilton,1,383.0,10,483.0
2018_21,vettel,2,302.0,5,352.0
2018_21,max_verstappen,5,234.0,2,254.0
2018_21,ricciardo,6,158.0,2,178.0
2018_21,bottas,4,237.0,0,237.0
2018_21,sainz,12,45.0,0,45.0
2018_21,leclerc,14,33.0,0,33.0
2018_21,perez,8,58.0,0,58.0
2018_21,grosjean,13,35.0,0,35.0
2018_21,kevin_magnussen,9,55.0,0,55.0
2018_21,alonso,10,50.0,0,50.0
2018_21,brendon_hartley,19,4.0,0,4.0
2018_21,stroll,18,6.0,0,6.0
2018_21,vandoorne,16,12.0,0,12.0
2018_21,sirotkin,20,1.0,0,1.0
2018_21,gasly,15,29.0,0,29.0
2018_21,ocon,11,49.0,0,49.0
2018_21,ericsson,17,9.0,0,9.0
2018_21,raikkonen,3,251.0,1,261.0
2018_21,hulkenberg,7,69.0,0,69.0
2019_01,bottas,0,0.0,0,0.0
2019_01,hamilton,0,0.0,0,0.0
2019_01,max_verstappen,0,0.0,0,0.0
2019_01,vettel,0,0.0,0,0.0
2019_01,leclerc,0,0.0,0,0.0
2019_01,kevin_magnussen,0,0.0,0,0.0
2019_01,hulkenberg,0,0.0,0,0.0
2019_01,raikkonen,0,0.0,0,0.0
2019_01,stroll,0,0.0,0,0.0
2019_01,kvyat,0,0.0,0,0.0
2019_01,gasly,0,0.0,0,0.0
2019_01,norris,0,0.0,0,0.0
2019_01,perez,0,0.0,0,0.0
2019_01,albon,0,0.0,0,0.0
2019_01,giovinazzi,0,0.0,0,0.0
2019_01,russell,0,0.0,0,0.0
2019_01,kubica,0,0.0,0,0.0
2019_01,grosjean,0,0.0,0,0.0
2019_01,ricciardo,0,0.0,0,0.0
2019_01,sainz,0,0.0,0,0.0
2019_02,hamilton,2,18.0,0,18.0
2019_02,bottas,1,26.0,1,36.0
2019_02,leclerc,5,10.0,0,10.0
2019_02,max_verstappen,3,15.0,0,15.0
2019_02,vettel,4,12.0,0,12.0
2019_02,norris,16,0.0,0,0.0
2019_02,raikkonen,8,4.0,0,4.0
2019_02,gasly,12,0.0,0,0.0
2019_02,albon,11,0.0,0,0.0
2019_02,perez,17,0.0,0,0.0
2019_02,giovinazzi,13,0.0,0,0.0
2019_02,kvyat,10,1.0,0,1.0
2019_02,kevin_magnussen,6,8.0,0,8.0
2019_02,stroll,9,2.0,0,2.0
2019_02,russell,19,0.0,0,0.0
2019_02,kubica,15,0.0,0,0.0
2019_02,hulkenberg,7,6.0,0,6.0
2019_02,ricciardo,18,0.0,0,0.0
2019_02,sainz,20,0.0,0,0.0
2019_02,grosjean,14,0.0,0,0.0
2019_03,hamilton,2,43.0,1,53.0
2019_03,bottas,1,44.0,1,54.0
2019_03,vettel,5,22.0,0,22.0
2019_03,max_verstappen,3,27.0,0,27.0
2019_03,leclerc,4,26.0,0,26.0
2019_03,gasly,10,4.0,0,4.0
2019_03,ricciardo,18,0.0,0,0.0
2019_03,perez,14,1.0,0,1.0
2019_03,raikkonen,6,10.0,0,10.0
2019_03,albon,11,2.0,0,2.0
2019_03,grosjean,16,0.0,0,0.0
2019_03,stroll,12,2.0,0,2.0
2019_03,kevin_magnussen,7,8.0,0,8.0
2019_03,sainz,20,0.0,0,0.0
2019_03,giovinazzi,15,0.0,0,0.0
2019_03,russell,19,0.0,0,0.0
2019_03,kubica,17,0.0,0,0.0
2019_03,norris,8,8.0,0,8.0
2019_03,kvyat,13,1.0,0,1.0
2019_03,hulkenberg,9,6.0,0,6.0
2019_04,bottas,2,62.0,1,72.0
2019_04,hamilton,1,68.0,2,88.0
2019_04,vettel,4,37.0,0,37.0
2019_04,max_verstappen,3,39.0,0,39.0
2019_04,leclerc,5,36.0,0,36.0
2019_04,perez,12,5.0,0,5.0
2019_04,sainz,20,0.0,0,0.0
2019_04,norris,9,8.0,0,8.0
2019_04,stroll,14,2.0,0,2.0
2019_04,raikkonen,7,12.0,0,12.0
2019_04,albon,13,3.0,0,3.0
2019_04,giovinazzi,16,0.0,0,0.0
2019_04,kevin_magnussen,8,8.0,0,8.0
2019_04,hulkenberg,10,6.0,0,6.0
2019_04,russell,19,0.0,0,0.0
2019_04,kubica,18,0.0,0,0.0
2019_04,gasly,6,13.0,0,13.0
2019_04,grosjean,17,0.0,0,0.0
2019_04,kvyat,15,1.0,0,1.0
2019_04,ricciardo,11,6.0,0,6.0
2019_05,hamilton,2,86.0,2,106.0
2019_05,bottas,1,87.0,2,107.0
2019_05,max_verstappen,4,51.0,0,51.0
2019_05,vettel,3,52.0,0,52.0
2019_05,leclerc,5,47.0,0,47.0
2019_05,gasly,6,13.0,0,13.0
2019_05,kevin_magnussen,10,8.0,0,8.0
2019_05,sainz,13,6.0,0,6.0
2019_05,kvyat,16,1.0,0,1.0
2019_05,grosjean,18,0.0,0,0.0
2019_05,albon,15,3.0,0,3.0
2019_05,ricciardo,12,6.0,0,6.0
2019_05,hulkenberg,11,6.0,0,6.0
2019_05,raikkonen,8,13.0,0,13.0
2019_05,perez,7,13.0,0,13.0
2019_05,giovinazzi,17,0.0,0,0.0
2019_05,russell,20,0.0,0,0.0
2019_05,kubica,19,0.0,0,0.0
2019_05,stroll,14,4.0,0,4.0
2019_05,norris,9,12.0,0,12.0
