race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2019_06,toro_rosso,9,6.0,0,6.0
2019_06,renault,8,12.0,0,12.0
2019_06,haas,6,15.0,0,15.0
2019_06,racing_point,5,17.0,0,17.0
2019_06,williams,10,0.0,0,0.0
2019_06,alfa,7,13.0,0,13.0
2019_07,mercedes,1,257.0,6,317.0
2019_07,ferrari,2,139.0,0,139.0
2019_07,red_bull,3,110.0,0,110.0
2019_07,renault,8,14.0,0,14.0
2019_07,racing_point,5,17.0,0,17.0
2019_07,toro_rosso,7,16.0,0,16.0
2019_07,mclaren,4,30.0,0,30.0
2019_07,alfa,9,13.0,0,13.0
2019_07,haas,6,16.0,0,16.0
2019_07,williams,10,0.0,0,0.0
2019_08,mercedes,1,295.0,7,365.0
2019_08,ferrari,2,172.0,0,172.0
2019_08,red_bull,3,124.0,0,124.0
2019_08,mclaren,4,30.0,0,30.0
2019_08,alfa,9,13.0,0,13.0
2019_08,renault,5,28.0,0,28.0
2019_08,racing_point,6,19.0,0,19.0
2019_08,toro_rosso,7,17.0,0,17.0
2019_08,haas,8,16.0,0,16.0
2019_08,williams,10,0.0,0,0.0
2019_09,red_bull,3,137.0,0,137.0
2019_09,ferrari,2,198.0,0,198.0
2019_09,mercedes,1,338.0,8,418.0
2019_09,mclaren,4,40.0,0,40.0
2019_09,alfa,6,19.0,0,19.0
2019_09,racing_point,7,19.0,0,19.0
2019_09,renault,5,32.0,0,32.0
2019_09,toro_rosso,8,17.0,0,17.0
2019_09,haas,9,16.0,0,16.0
2019_09,williams,10,0.0,0,0.0
2019_10,mercedes,1,363.0,8,443.0
2019_10,ferrari,2,228.0,0,228.0
2019_10,red_bull,3,169.0,1,179.0
2019_10,mclaren,4,52.0,0,52.0
2019_10,renault,5,32.0,0,32.0
2019_10,alfa,6,22.0,0,22.0
2019_10,toro_rosso,8,17.0,0,17.0
2019_10,racing_point,7,19.0,0,19.0
2019_10,williams,10,0.0,0,0.0
2019_10,haas,9,16.0,0,16.0
2019_11,red_bull,3,191.0,1,201.0
2019_11,ferrari,2,243.0,0,243.0
2019_11,toro_rosso,8,19.0,0,19.0
